id,ingredient_name,group_name,water_g,energy_kcal,protein_g,fat_g,ash_g,cho_g,fiber_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,iodine_mg,selenium_mg,thiamin_mg,riboflavin_mg,niacin_mg,pantothenic_acid_mg,vitamin_b6_mg,folate_ug,choline_mg,vitamin_b12_ug,vitamin_a_iu,vitamin_e_mg,vitamin_d_iu,pufa_18_2_g,pufa_18_3_g,pufa_20_5_g,pufa_22_6_g,tryptophan_g,threonine_g,isoleucine_g,leucine_g,lysine_g,methionine_g,cystine_g,phenylalanine_g,tyrosine_g,valine_g,arginine_g,histidine_g
12,Coconut oil,Oil,0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,1.68,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"Chicken breast, no skin",Meat Group A,73.9,459.7701,86.206894,10.038314,4.329502,0.0,0.0,19.157087,1.4176245,107.2796935,816.091954,1279.693487,172.4137931,2.605363985,0.141762452,0,0.087356322,0.360153257,0.67816092,36.7816092,5.747126437,3.107279693,0.034482759,314.559387,0.000804598,114.9425287,2.14559387,3.831417625,1.222222222,0.049808429,0.011494253,0.01532567,1.084291188,3.869731801,4.214559387,7.126436782,8.275862069,2.24137931,0.904214559,3.478927203,3.103448276,4.444444444,5.823754789,2.1552
118,"Chicken wing, meat only",Meat Group A,75.0,504.0,88.0,14.16,3.32,0.0,0.0,52.0,3.52,88.0,620.0,776.0,324.0,6.52,0.164,0,0.071,0.236,0.404,29.44,3.344,2.12,0.016,0.0,0.002,236.0,0.52,20.0,1.88,0.08,0.0,0.0,1.028,3.712,4.64,6.6,7.48,2.432,1.124,3.488,2.968,4.36,5.28,
16,"Turkey breast, no skin",Meat Group A,74.9,454.18326,94.42231,5.8964143,4.1434264,0.55776894,0.0,43.8247,2.9083664,111.5537849,800.7968127,964.1434263,450.1992032,5.099601594,0.278884462,0,0.090438247,0.167330677,0.577689243,39.52191235,3.087649402,3.239043825,0.027888446,244.2231076,0.00250996,79.6812749,0.239043825,19.92031873,0.796812749,0.035856574,0.0,0.011952191,1.003984064,3.422310757,2.701195219,6.533864542,7.768924303,2.466135458,0.888446215,3.039840637,2.800796813,3.011952191,5.338645418,2.3606
54,"Pork loin, lean boneless",Meat Group A,73.3,494.3820225,83.89513109,15.20599251,3.782771536,0.0,0.0,18.72659176,2.02247191,97.37827715,842.6966292,1400.749064,183.5205993,6.741573034,0.217228464,0,0.103745318,1.65917603,0.700374532,21.49812734,2.790262172,2.827715356,0.00936,222.8464419,0.001910112,0.0,0.486891386,59.92509363,1.307116105,0.048689139,0.0,0.0,0.883895131,3.745318352,4.119850187,7.153558052,7.790262172,2.310861423,0.966292135,3.524344569,3.191011236,4.382022472,5.580524345,2.0974
13,"Beef, 97% Lean",Meat Group A,74.8,480.15872,87.30159,11.904762,4.2460318,0.0,0.0,31.74603,9.68254,87.3015873,805.5555556,1416.666667,261.9047619,20.67460317,0.317460317,0,0.070238095,0.162698413,0.599206349,22.46031746,2.670634921,1.591269841,0.01587302,288.8888889,0.008968254,55.55555556,0.674603175,11.9047619,0.611111111,0.126984127,0.0,0.0,0.444444444,3.376984127,3.857142857,6.825396825,7.222222222,2.246031746,0.896825397,3.404761905,2.686507937,4.285714286,5.674603175,2.1825
124,"Lamb, 95% lean",Meat Group A,74.4,492.188,82.422,18.125,4.219,0.0,0.0,42.969,6.406,93.75,773.438,1367.188,250.0,12.344,0.465,0,0.052,0.684,0.676,20.469,2.16,0.535,0.0,0.0,0.006,35.156,0.547,3.906,0.695,0.254,0.0,0.0,0.91,3.945,3.691,6.367,7.188,2.688,1.078,3.246,2.855,4.219,5.547,
94,Alaska Pollock (fish),Meat Group A,80.4,397.9591837,88.26530612,5.051020408,6.224489796,0.0,0.0,204.0816327,1.224489796,116.3265306,1137.755102,1801.020408,586.7346939,2.193877551,0.494897959,0,0.137755102,0.43877551,0.530612245,7.551020408,1.275510204,0.617346939,0.051020408,0.0,0.008979592,51.02040816,1.173469388,260.0,0.030612245,0.020408163,0.857142857,1.209183673,0.704081633,2.617346939,2.87755102,5.306122449,6.479591837,2.147959184,0.795918367,2.530612245,2.352040816,3.091836735,4.102040816,
95,Haddock (fish),Meat Group A,83.4,415.6626506,92.1686747,2.710843373,7.710843373,0.0,0.0,66.26506024,1.024096386,127.1084337,1367.46988,1722.891566,1283.13253,1.927710843,0.126506024,0,0.156024096,0.120481928,0.343373494,20.24096386,2.427710843,1.692771084,0.0,0.0,0.013,0.0,2.710843373,108.4337349,0.084337349,0.012048193,0.253012048,0.536144578,0.831325301,3.090361446,3.397590361,6.265060241,7.65060241,2.536144578,0.939759036,2.987951807,2.777108434,3.65060241,4.843373494,
14,Salmon,Meat Group A,75.5,518.3674,83.67347,17.959183,6.2040815,0.0,0.0,28.571428,1.5510204,110.2040816,1065.306122,1493.877551,306.122449,1.591836735,0.257142857,0,0.128163265,0.326530612,0.428571429,32.65306122,4.204081633,2.493877551,0.016326531,386.122449,0.016938776,477.5510204,1.632653061,1775.510204,0.330612245,0.191836735,0.742857143,1.359183673,0.902040816,4.367346939,3.893877551,6.367346939,7.183673469,2.355102041,0.648979592,3.448979592,3.028571429,4.489795918,5.265306122,2.0918
24,"Chicken thigh, with skin",Meat Group B,66.5,659.7015,49.25373,49.55224,2.4179103,0.74626863,0.0,20.895523,2.0298507,53.73134328,468.6567164,608.9552239,241.7910448,3.850746269,0.16119403,0,0.05641791,0.217910448,0.432835821,13.79104478,0.567164179,1.035820896,0.008955224,136.4179104,0.001850746,232.8358209,0.626865672,8.955223881,9.253731343,0.48358209,0.011940299,0.020895522,0.498507463,2.194029851,2.182089552,3.940298507,4.328358209,1.307462687,0.546268657,1.886567164,1.728358209,2.280597015,3.462686567,1.2313
117,"Chicken wing, with skin, no bones",Meat Group B,69.2,620.13,56.818,41.558,2.435,0.0,0.0,35.714,1.494,51.948,399.351,607.143,272.727,3.929,0.11,0,0.057,0.175,0.334,18.506,2.078,1.714,0.023,0.0,0.001,94.156,2.078,16.234,7.24,0.367,0.0,0.0,0.718,2.552,2.789,4.708,5.455,1.481,0.594,2.295,2.049,2.945,3.831,
96,Pork (ground),Meat Group B,61.1,676.092545,43.44473008,54.49871465,2.236503856,0.0,0.0,35.98971722,2.262210797,48.84318766,449.8714653,737.7892031,143.9588689,5.655526992,0.115681234,0,0.063239075,1.881748072,0.604113111,11.15681234,1.71722365,0.984575835,0.011,0.0,0.002,17.99485861,0.0,0.0,4.293059126,0.179948586,0.0,0.0,0.550128535,1.982005141,2.030848329,3.470437018,3.907455013,1.149100257,0.552699229,1.732647815,1.434447301,2.354755784,2.699228792,
1,"Beef, 90% Lean",Meat Group B,69.4,575.1634,65.359474,32.679737,3.2026143,0.0,0.0,39.215687,7.3202615,65.35947712,601.3071895,1049.019608,215.6862745,15.65359477,0.235294118,0,0.054248366,0.137254902,0.493464052,16.56862745,1.964052288,1.205882353,0.01960784,216.0130719,0.007222222,45.75163399,0.555555556,9.803921569,0.859477124,0.150326797,0.0,0.0,0.333333333,2.532679739,2.892156863,5.098039216,5.424836601,1.683006536,0.673202614,2.552287582,2.013071895,3.212418301,4.248366013,1.634
